r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.91,33.1,31.52,1.0501269035532996,0.6430880089232365,210210040.20079473,0.91,1.001694441378254,1.180718852310345,0.29466098414111164,3.4052413040457825,0.054215350247477236,0.1430817610062893,0.8351649405418813
1.36,46.7,37.5,1.2453333333333334,0.7303832645123506,444673336.57295793,1.36,1.001694441378254,1.4238808915159844,0.29466098414111164,3.4052413040457825,0.11468586688337495,0.2138364779874214,0.8351649405418813
1.82,53.9,42.04,1.2821122740247384,0.7865393368251368,747887798.6286623,1.82,1.261829571559719,1.5907767037104603,0.32868444414363335,4.844202079021406,0.19288802242622072,0.2861635220125786,1.0520531766709853
2.27,58.8,46.24851565185633,1.2713921554288818,0.8360591764405356,1128914625.9745033,2.27,0.9078999180048422,1.74475260690409,0.1673433571192614,4.925694543857834,0.29115879426236874,0.35691823899371067,0.7569635506763968
2.72,65.6,48.932779401951,1.3406146309642173,0.8687204605949091,1514287434.054654,2.72,0.8402696255807383,1.8497982708480099,0.12214822864595332,5.780297033369916,0.39055043961842245,0.4276729559748428,0.7005766458299534
3.17,70.8,50.480419966557335,1.402523989437967,0.9189260216395815,1878212930.7518647,3.17,0.5213575025724125,2.0166785648598347,0.06842669194460901,3.972333569896593,0.48441060085800824,0.4984276729559748,0.4346829628382974
3.63,82.1,51.177405170641464,1.6042235773043385,0.9763053208171428,2210562481.8933663,3.63,0.2724547885158007,2.215429024109766,0.038966532117336555,1.9050094466108103,0.5701269981457732,0.570754716981132,0.22715977832328355
4.08,84.1,51.47697155039329,1.6337402428126615,1.0331366638756734,2513771431.6272607,4.08,0.11606374996767183,2.4207194399930763,0.00826849577687204,1.6291710632830756,0.6483277320036351,0.6415094339622641,0.09676840644882383
4.54,83.4,51.799151537452815,1.6100649822362156,1.0736285569660462,2832310030.6679287,4.54,0.07468174963415077,2.572110318798939,0.003796105102889841,1.4692332212224914,0.7304821414592175,0.7138364779874213,0.062266072782585
4.99,81.5,51.50248537692138,1.582447903310715,1.0867544551089325,3077489401.0802374,4.99,0.12167753454952417,2.6221002745177793,0.013973184887122245,1.059559616053989,0.7937164447668148,0.7845911949685535,0.10144891167361744
5.45,80.8,50.89250828953118,1.587660005679479,1.111984716349999,3282039924.109084,5.45,0.11882460745391937,2.719447728564783,0.009242248507890023,1.5276896444111545,0.846472146819488,0.8569182389937107,0.09907027744171261
5.9,82.8,50.53640272120681,1.6384229098533416,1.098093513158481,3503485355.424782,5.9,0.20702268281776476,2.665645685891437,0.01963419808312055,2.1828439857653286,0.9035852210000371,0.9276729559748428,0.17260561648762357
6.36,88.2,51.20557098597769,1.7224688310604523,1.1447411358696364,3877315912.213927,6.36,0.13008430763789613,2.8483030844673736,0.012927122978103932,1.3090249951434132,1.0,1.0,0.10845807720002174
6.81,88.5,51.959603539673004,1.703246252301119,1.1396853962793183,4274825728.508618,6.81,0.1637390596766396,2.828233039519369,0.01623668889677454,1.6512282666890363,1.1025219056931874,1.070754716981132,0.13651780062897031
7.26,88.4,52.38436885178631,1.6875262972073692,1.1268073289292269,4632118887.863266,7.26,0.20390187427172948,2.777410512416431,0.013137859924789837,3.164592602564931,1.1946715183231873,1.141509433962264,0.17000363550806863
7.71,88.2,52.05041594454361,1.694510954417184,1.137418521794836,4856712909.128532,7.71,0.20119648274133045,2.8192556836333713,0.01412136584129676,2.866579984005656,1.25259664651761,1.2122641509433962,0.16774800937768958
8.17,89.5,50.88195849218071,1.7589731734432732,1.2084860513560978,4918009241.997625,8.17,0.11570984618343234,3.1070561485750265,0.009384607106563688,1.4266733121335826,1.268405606699576,1.2845911949685533,0.09647333839142777
8.62,89.7,49.48285056461481,1.81274924497063,1.2754178048935663,4907455061.835751,8.62,0.057360793777118835,3.3901155550449467,0.010500945289506767,0.3133299500216422,1.2656835741386931,1.3553459119496853,0.04782468779440165
9.07,93.7,48.335640059897834,1.9385281726669257,1.3071302771836197,4926992261.405147,9.07,0.04325675110854198,3.528296707172785,0.009554502519433477,0.1958392404691411,1.2707224206014878,1.4261006289308176,0.036065411242467434
9.53,97.0,47.357530552173,2.048248691792253,1.3104745760016072,4969476511.017434,9.53,0.055684908197038196,3.543021274652178,0.00351539316848392,0.88206605983986,1.2816795493405875,1.4984276729559747,0.04642741451122635
9.96,96.2,46.003069462808675,2.0911648097258637,1.3332344413548833,4900863469.35881,9.96,0.04972963801226005,3.644002739654212,0.009258703522954041,0.26710401631279185,1.2639835340526697,1.5660377358490567,0.041462194914981265
10.45,94.8,44.57645118221055,2.1266834278147413,1.3717498029398763,4827996168.252766,10.45,0.03298939209079648,3.817956581365143,0.003869685874321004,0.2812372957045937,1.245190301116322,1.643081761006289,0.027504978111003595
10.93,92.5,43.25441942738337,2.138509803727487,1.3446416670337134,4754674397.743732,10.93,0.06907955011628701,3.6951212435738783,0.022804535333715997,0.2092559297717124,1.22627985580593,1.7185534591194966,0.057595226630336394
11.32,92.8,42.18011142706951,2.200089019690087,1.2929185557338074,4682755876.3145485,11.32,0.12985516524488153,3.466048465022841,0.00846972407497657,1.9908988523716613,1.2077313229916105,1.779874213836478,0.10826702922657551
11.8,93.5,41.36379697271516,2.260430783510409,1.3039248938766095,4694209285.9418125,11.8,0.12985516524488153,3.514211061409075,0.00846972407497657,1.9908988523716613,1.210685276160911,1.8553459119496856,0.10826702922657551
