r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.25,3.17,6.533306972735936,0.4852060393348558,0.35701312843197447,2481108.6490998417,0.25,1.6224353919804093,0.5227090144665956,0.9685026574739086,2.717903333395384,0.0026393123119323567,0.08665511265164645,0.3381889171824609
0.5,10.5,13.589385563740548,0.7726618654500683,0.45291557779330366,21468875.191529237,0.5,1.6224353919804093,0.7195878545834985,0.9685026574739086,2.717903333395384,0.022837801414661903,0.1733102253032929,0.3381889171824609
0.75,17.5,18.713508489858334,0.935153341741556,0.5214450908049056,61067669.400196694,0.75,1.6936980265994048,0.8749215683468031,0.31458647662733075,9.118678705013025,0.06496154522190298,0.25996533795493937,0.35304327339072245
1.0,22.7,25.25998020585131,0.8986547026169757,0.639302598142492,148356185.08641195,1.0,2.6555029970885466,1.1706227537317546,0.2883622895843877,24.454293859678252,0.15781586428790284,0.3466204506065858,0.5535269309330989
1.26,29.7,30.606306539665972,0.970388242093459,0.5896822925923306,274430285.68372744,1.26,1.547035171558559,1.041725060648362,0.08572561568780357,27.9183509250634,0.291928864959202,0.4367417677642981,0.32247210095308937
1.5,34.5,31.54714725613078,1.0936012603578718,0.8034972032774431,347097184.08429843,1.5,5.3667945230831435,1.6427872856545174,0.8162816403542195,35.2849825710849,0.36922924424253056,0.5199306759098787,1.1186827145620881
1.76,36.0,32.08111282359139,1.1221555872440556,0.33365859061879044,421163922.9837406,1.76,0.19121285805293992,0.4783850622406234,0.024152197773862846,1.5138314710366025,0.44801872246747654,0.6100519930675911,0.03985740802741819
2.01,37.3,31.11529527418951,1.1987673480617993,0.5544907652183593,452463505.63020384,2.01,0.7786107286656135,0.9541887765445332,0.08299493823888794,7.3044775941425,0.48131406963702744,0.6967071057192374,0.16229769181295708
2.26,35.6,31.74703923202918,1.1213644125932731,0.5901158177761824,529608006.2126388,2.26,0.8648353780484547,1.0428234996827308,0.03817398174183495,19.592932070393488,0.5633775577712385,0.7833622183708838,0.18027080861832107
2.51,34.9,33.65059434839153,1.0371287840765342,0.6869632616845653,660843838.8620082,2.51,1.4312737145846706,1.3004573414601512,0.273083698625026,7.501525929139689,0.7029814195383727,0.8700173310225303,0.2983421775188648
2.76,32.7,36.3584515621884,0.8993782351833414,0.6767289464900934,848319569.5794612,2.76,1.2189037983585718,1.2720796336129625,0.2641832086460889,5.623848984449637,0.9024112205874348,0.9566724436741768,0.25407468165083735
3.01,32.8,38.39673163174178,0.8542393741889458,0.6109685948938187,1031797942.7609503,3.01,0.7392665831714426,1.096236006024304,0.048133164095663816,11.35423135507548,1.0975887794125652,1.0433275563258233,0.15409659238680284
3.27,33.2,39.245815063519835,0.8459500699951166,0.6021778940980166,1171046401.8079898,3.27,0.6442758721196601,1.0735815750804354,0.042874258183423164,9.681599565401667,1.2457161790384532,1.1334488734835355,0.1342962318474648
3.51,32.1,39.91912448939731,0.8041258522221822,0.6981448046760651,1300495270.7682793,3.51,1.1003314543845415,1.3317728234611008,0.20433822856247555,5.925123840142448,1.3834191344235651,1.216637781629116,0.22935884223154554
3.76,30.1,39.94081871970078,0.7536149975101336,0.6760936764767215,1394637748.7554963,3.76,0.8911026057467013,1.270327133660074,0.15161614967478004,5.237330295432547,1.483564447010996,1.3032928942807627,0.18574608691696068
4.02,32.3,39.76549760785095,0.8122619341653344,0.5589090686595156,1478013977.5070856,4.02,0.4002291341836573,0.9650022197983167,0.18618511830804785,0.8603445930859666,1.5722570188362548,1.3934142114384749,0.08342585361702913
4.26,33.6,39.41788933974015,0.852404848732611,0.5924630142436367,1538990632.215043,4.26,0.4655567123360135,1.0487791644642888,0.09758208017411552,2.2211358070496487,1.6371217459692438,1.4766031195840554,0.09704307561964474
4.52,35.1,39.323278093261756,0.8926010674073117,0.48762135885626806,1625090342.2764018,4.52,0.22598605055630613,0.7967283253529512,0.022327596961709197,2.2872902593870506,1.7287114572465776,1.5667244367417676,0.04710571410963209
4.77,35.3,39.529616744916716,0.8930013217125202,0.7217283612893349,1733018631.4059117,4.77,0.945696323432756,1.3988877370255404,0.35768362808835696,2.5003703438540015,1.8435216097196094,1.6533795493934142,0.1971258869142198
5.02,35.2,39.62852507979574,0.8882490561816648,0.6504632688511715,1832986135.4922566,5.02,0.5673767414261232,1.2004964722130884,0.059448424876092476,5.415052919943491,1.949863371263975,1.7400346620450606,0.11826697492292539
5.27,34.6,39.065094393844745,0.8857011748434868,0.6602363841739844,1869941484.941559,5.27,0.5748294386018283,1.2269220920572628,0.06824094544188875,4.842091230472079,1.9891751155637232,1.826689774696707,0.11982045409405219
5.52,33.0,38.25611062301028,0.862607292340669,0.66754913331651,1878366578.2357686,5.52,0.5748294386018283,1.2468575323256206,0.06824094544188875,4.842091230472079,1.9981374205674374,1.9133448873483536,0.11982045409405219
