r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
1.74,87.5,126.78499674646051,0.6901447509201657,0.6996271310042813,6503162725.097713,1.74,0.3585708076648369,1.335948690172748,0.05121885730412606,2.5102673288077426,0.2817525705142125,0.15276558384547848,1.0
3.5,106.0,137.9797380052593,0.7682287380191986,0.8220499297963529,15493099913.739183,3.5,0.3585708076648369,1.7005458429979985,0.05121885730412606,2.5102673288077426,0.6712458092249182,0.30728709394205445,1.0
5.24,116.0,127.15870477478134,0.9122458443207233,0.8406822382479769,19699859259.552048,5.24,0.3273696335324794,1.759452851665294,0.04598695014164258,2.3304628080161236,0.8535056279194677,0.4600526777875329,0.9129846226591825
6.98,125.0,115.2906943339314,1.0842158660086327,0.6109360755587986,21571660536.026104,6.98,0.061669995590614896,1.0961518305037405,0.013496939230155696,0.28178154256256427,0.9346022947924968,0.6128182616330115,0.17198833332873834
8.72,126.0,105.31830800008136,1.196373188979666,0.6566842734686703,22488675447.75409,8.72,0.07876197147373126,1.2172887789960685,0.011197949324596453,0.5539807308113902,0.9743323952837684,0.7655838454784899,0.21965528088207228
10.47,123.0,97.0566401643906,1.2673012355637656,0.5855567198416057,22931730716.9878,10.47,0.04954096798228551,1.0312963936387647,0.0052119043705697345,0.47090417131992535,0.9935279723073448,0.9192273924495171,0.13816230134549162
12.31,118.0,90.09078532236246,1.3097898922489453,0.49880127850545475,23230493913.148613,12.31,0.028274902460168953,0.8222448085757341,0.0014181341707550168,0.5637478636499036,1.006472027692655,1.0807726075504829,0.07885444619517953
14.52,115.0,83.48831055902377,1.377438341127988,0.40990242080047096,23531933232.73447,14.52,0.015291489489153496,0.628328413751983,0.0005510868526296325,0.4243063496817644,1.0195320273785917,1.2748024582967514,0.04264566206250328
17.07,122.0,78.40565285743114,1.55601025632474,0.36553919261378004,24398769108.863003,17.07,0.01061954262095371,0.5392437643515344,0.00029957397051235595,0.3764502145676271,1.0570880976535337,1.4986830553116768,0.029616305605335284
31.82,121.0,60.845069644137965,1.9886574328485065,0.2714833618943727,27389910030.667923,31.82,0.004246342312005776,0.36729754241548496,7.672413667061824e-05,0.2350163040366377,1.1866806788504198,2.7936786654960493,0.011842409424402766
34.61,118.0,58.41294120312724,2.020100299172791,0.4304461936967416,27457398907.905537,34.61,0.015146040835262093,0.671315297065158,0.0003428478600382773,0.6691088955836422,1.18960466606197,3.038630377524144,0.042240027663990404
37.16,113.0,56.41123469664531,2.0031470789048327,0.43064083086739874,27494546545.731018,37.16,0.015146040835262093,0.6717278136406112,0.0003428478600382773,0.6691088955836422,1.1912141048671019,3.262510974539069,0.042240027663990404
