r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.87,37.8,101.87,0.371061156375773,0.5914448094451709,2099188846.7789376,0.87,0.3355762216912627,1.0461938608506958,0.12247607992109419,0.919456277806523,0.044263393531101584,0.14238952536824875,0.9802164253060461
1.74,80.1,114.98,0.6966428944164201,0.7012658420677177,5348518498.6433115,1.74,0.3355762216912627,1.3405717576939467,0.12247607992109419,0.919456277806523,0.11277859992305714,0.2847790507364975,0.9802164253060461
2.61,121.0,122.0,0.9918032786885246,0.7612380648743134,9032330367.294363,2.61,0.3431567312050374,1.5145664737119795,0.1265787606745822,0.9303025368850254,0.19045527712475133,0.4271685761047463,1.0023590547812267
3.5,142.0,133.02219062998475,1.0674910654192125,0.8014824969817533,14399780790.57688,3.5,0.32350589027419824,1.6365689478402918,0.024223263939008435,4.320477261264801,0.3036330746864069,0.5728314238952537,0.944959049040634
4.37,153.0,144.6624941026526,1.0576341915647542,0.8300577382108911,21263413222.78309,4.37,0.1955699531067539,1.7257523416038054,0.0080794567536483,4.733932951730587,0.44835929303772265,0.7152209492635024,0.5712588316461298
5.24,160.0,160.93874393694017,0.9941670730491845,0.8523115542667926,31556741138.968266,5.24,0.06890824569935358,1.796677035464471,0.012816465196946101,0.3704879818574246,0.6654039029106708,0.8576104746317512,0.20128063285626335
6.11,162.0,182.71027612041968,0.8866496370090861,0.870461358948068,47424941454.25038,6.11,0.27534468026745385,1.8554752295963002,0.01455154107335973,5.210079988736337,1.0,1.0,0.8042804012112371
6.98,167.0,195.19184665349113,0.8555685232921746,0.8857804007219073,61832728855.05627,6.98,0.3364265619807629,1.9057693945158891,0.013836030580238615,8.18029643327401,1.303801901678776,1.1423895253682488,0.9827002649376705
7.85,169.0,199.63756785735495,0.8465340557582524,0.8990539419189114,72743441324.0454,7.85,0.25263235511854587,1.9498413295428252,0.012655997829831199,5.042913858779819,1.5338646520885875,1.2847790507364973,0.7379378157454122
8.72,171.0,202.8341009297993,0.8430535063686503,0.9107934829279157,83413832002.99474,8.72,0.18593674063416682,1.9892016820350682,0.007244569569139302,4.772191251351989,1.758859988967238,1.4271685761047463,0.5431202673387328
9.6,171.0,203.86472696373934,0.8387914993770116,0.9214624711019244,92767330225.46391,9.6,0.04189782715293914,2.0252834824459685,0.00047400321853576156,3.7034092839289956,1.9560873958053098,1.5711947626841243,0.12238333858389078
10.47,170.0,197.38637465640835,0.8612549893371314,0.9310657348743472,94846359961.72905,10.47,0.16371497821452466,2.0580141583285876,0.010078170858433187,2.659470103084676,1.999925715316378,1.7135842880523733,0.4782106130932603
11.35,169.0,192.15082851759968,0.879517415062932,0.9400062033078542,97436130775.81255,11.35,0.16371497821452466,2.0887013642422754,0.010078170858433187,2.659470103084676,2.05453349625759,1.857610474631751,0.4782106130932603
