r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.28,168.0,215.7164564886045,0.7788001098046723,0.28653479978125906,3029453089.694972,0.28,13.237822660522419,0.3932676487126512,0.6052354815238279,289.540111478976,0.03402721724662216,0.0731070496083551,0.47542120249480274
0.37,187.0,227.35200680882497,0.8225130827951915,0.33077178824832804,4446711498.264321,0.37,13.237822660522419,0.4730047569196238,0.6052354815238279,289.540111478976,0.049946050889247376,0.09660574412532637,0.47542120249480274
0.47,204.0,236.8777173986612,0.8612038407001004,0.22655268860369657,6131770929.87298,0.47,3.585760573385455,0.2932766455313291,0.10398145497059427,123.6535773930237,0.06887286099495879,0.12271540469973889,0.12877847417772328
0.56,218.0,243.90546467842825,0.8937889123862692,0.31416373314843754,7745879451.557929,0.56,6.610850043233885,0.44247223974192906,0.3262792895961837,133.94456739259934,0.08700274110890636,0.1462140992167102,0.23742108937898698
0.65,232.0,249.5503999195353,0.9296719222842591,0.3382998709736251,9411731788.15646,0.65,6.651261878868446,0.487080714484628,0.5747101733499625,76.97668604580218,0.10571381458650847,0.16971279373368148,0.23887243405893205
0.75,243.0,255.82125752173138,0.9498819697552215,0.2739453300475465,11412325961.250065,0.75,3.1250044166058175,0.3715051870588635,0.06497734210010789,150.29319895480384,0.12818475258576192,0.195822454308094,0.11223094580160177
0.84,253.0,262.76000704064535,0.9628558122274079,0.315085580305822,13484581144.920494,0.84,3.8274582350697264,0.44414818009747553,0.27328324817422595,53.605322093740725,0.15146059652110813,0.21932114882506526,0.13745876820377903
0.93,262.0,270.37450859872126,0.9690262641913836,0.42647670416047684,15807168403.198393,0.93,7.6655097881019465,0.6629237971095344,0.45906120851916793,128.0004479163768,0.17754820338338045,0.24281984334203657,0.2752979832599818
1.03,269.0,277.9479755277955,0.9678070131260924,0.2100378586993594,18501370503.68411,1.03,0.9849084227009588,0.26738853141247515,0.03346649866521421,28.98554195379798,0.2078098372378145,0.2689295039164491,0.03537185522692826
1.12,275.0,283.6972365039885,0.9693432455981423,0.44959659912672406,20958870713.407166,1.12,6.778417735597065,0.7123748316569353,0.29199626405691526,157.3545714588354,0.23541280419060057,0.2924281984334204,0.24343909066557004
