r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.11,9.1,27.237756882680337,0.3340950592662942,0.40699351715917115,18974703.95799959,0.11,97.47896750589996,0.6223303570716415,41.37435518204751,229.6627721255537,0.007402504910661896,0.06626506024096385,0.6426039389306752
0.14,17.6,29.917062021528785,0.5882930612416007,0.44140549499074033,29134365.517995037,0.14,97.47896750589996,0.6946959493011672,41.37435518204751,229.6627721255537,0.011366042089160141,0.08433734939759036,0.6426039389306752
0.17,19.3,32.32653553970793,0.5970327372784214,0.5714598639987836,41305405.83271913,0.17,186.2344973306999,0.9959961530087444,46.77772897368354,741.4487354768927,0.016114268248421253,0.10240963855421686,1.2277009555136977
0.21,24.8,35.62593016329538,0.6961221752337824,0.3863947755021218,61971408.1438579,0.21,43.93891224978637,0.5804859747980574,2.6431881798136136,730.4164056266953,0.02417659079798912,0.12650602409638553,0.28965548986075446
0.24,30.0,37.98720837334589,0.789739527715593,0.5417010212401847,80524056.53687242,0.24,109.47716430941189,0.9231730165766416,14.175471636115455,845.4921157398838,0.03141444131407971,0.14457831325301204,0.7216988321499284
0.28,35.0,40.67995698129486,0.8603745578220112,0.3496840248778428,107735454.12482478,0.28,24.879116222132136,0.5086466173090408,5.737999988385893,107.87215497511278,0.042030285688603834,0.1686746987951807,0.1640088984373837
0.32,38.3,43.212758532637096,0.8863123137828226,0.20502361250375223,138935620.60122162,0.32,5.450546585902098,0.2596686986930676,0.06841779278064117,434.2212292691066,0.05420224821651593,0.19277108433734938,0.03593126594425448
0.35,42.7,45.056250398807045,0.9477042501772533,0.5266549807614068,165202944.2606332,0.35,68.25592244435984,0.8872300901504439,6.130272202712766,759.9778271948222,0.06444978582285436,0.21084337349397586,0.44995885512880074
0.39,47.0,47.3495353725884,0.9926179767163935,0.300169153091692,203299212.25973114,0.39,11.808967632957168,0.4173011296998108,0.2590913818687582,538.2337133346597,0.0793120894227122,0.23493975903614456,0.07784745068400352
0.42,49.8,48.91362284681028,1.0181212738211134,0.5119667840659917,233640752.77092528,0.42,51.793012306536674,0.8527097684489278,4.205265547328971,637.8945856317906,0.09114908056251181,0.25301204819277107,0.34143153716981023
0.46,52.2,51.02733483144108,1.022981117325304,0.33365972069159183,278485923.67661726,0.46,13.31060251570285,0.4783871726671803,0.28462751407008846,622.4701779442414,0.10864429938561772,0.27710843373493976,0.08774657574838907
0.49,53.4,52.63182402311362,1.0145952755988283,0.4315109188114316,315596783.23889595,0.49,26.014565724074824,0.6735730937809634,1.0709610589263079,631.916187961766,0.12312217059545207,0.2951807228915662,0.17149404462916173
0.53,54.6,54.83612039522854,0.9956940718357405,0.2473146731660817,370551825.7764055,0.53,5.2558588939699415,0.3268285849983013,0.08292046829510878,333.13913055834,0.14456150230518564,0.3192771084337349,0.034647839571387395
0.56,55.5,56.269950239892694,0.9863168487512393,0.4694183417003008,412269051.89831924,0.56,29.436992227527075,0.7558779950823593,1.2546540307911005,690.6577352300934,0.1608364319120039,0.3373493975903614,0.19405547308998375
0.6,55.9,57.61317384071112,0.9702641995483932,0.35824715811924723,463057046.0669952,0.6,12.418201495946384,0.5250904923099192,0.8590947504710149,179.5049129439745,0.18065009419988323,0.36144578313253006,0.08186366146365838
0.63,58.3,58.57715766405878,0.9952685026875444,0.2579908726543486,502616549.0558976,0.63,4.9252940336958,0.3445179501391866,0.4352157783470292,55.73906674637233,0.19608324223670598,0.37951807228915657,0.032468679423108486
0.66,59.3,59.64116866728887,0.9942796448340557,0.55136267708895,545853212.4596888,0.66,42.3032877244421,0.9465637192816521,2.597445119710413,688.9724594052062,0.2129509421953272,0.39759036144578314,0.27887307402798284
0.7,59.5,61.13488774832256,0.9732576960793157,0.391437899896728,608297348.7006239,0.7,13.681656935498149,0.5906286182149572,0.4528894665851105,413.31881245130893,0.23731195600554184,0.4216867469879517,0.09019265245415292
0.87,59.1,66.16646053704248,0.8932017750430158,0.1503791552824298,885594080.0900276,0.87,0.9540686342034933,0.17977721272892405,0.12337563999889192,7.377849944925062,0.34549232184229867,0.5240963855421686,0.00628944148708045
1.05,62.6,69.76248347070222,0.8973304401683146,0.11888855293994655,1188154205.7378557,1.05,0.45957598663679095,0.1372633873661473,0.01614478729101294,13.082246528621084,0.4635285674056602,0.6325301204819277,0.0030296313841534947
1.22,65.6,72.54878083055566,0.9042191922317043,0.15485140663519453,1492999674.95251,1.22,0.7288034689061088,0.18602405221316234,0.09378698957461033,5.663413429717011,0.582456382450866,0.7349397590361445,0.004804441325222894
1.4,70.7,75.77865794536085,0.9329803656720506,0.18936846430093565,1869224652.4572709,1.4,1.0264857479805596,0.23598700415413876,0.05639055763043575,18.685273476325907,0.7292311226342834,0.8433734939759034,0.006766831879590682
1.57,73.9,79.40491168687237,0.9306729071297177,0.11593402920960653,2301622168.331818,1.57,0.2902700167148593,0.13340693807701268,0.0070981694558853,11.870198806508489,0.897920169994619,0.9457831325301205,0.0019135272035288207
1.75,78.5,83.32317924803397,0.9421147957679763,0.23966980171964455,2824940849.7271504,1.75,1.470049970052644,0.31434389973287835,0.09363376517130075,23.07978228257932,1.102079830005381,1.0542168674698795,0.009690910001930151
1.92,82.4,88.30857829225879,0.933091683656097,0.24178254852200393,3481341762.557226,1.92,1.3699484922417906,0.3177789895227376,0.18815687383800575,9.974436931872907,1.3581581852378517,1.1566265060240963,0.009031017867453629
2.1,87.1,93.2985959165517,0.9335617448938259,0.3671742902245486,4250197934.855647,2.1,3.801443911091238,0.54243633744702,0.37086478688791447,38.96561852214923,1.6581081398526794,1.2650602409638554,0.025059999027414893
2.27,89.6,97.09155473057375,0.9228403052009765,0.32852987050353727,4975404716.676237,2.27,2.585764402153638,0.46884130906052957,0.11070590008072817,60.3958554925195,1.9410293793911215,1.3674698795180722,0.017045958040846913
2.45,94.9,97.83436257266666,0.9700068309793796,0.29049180819667864,5452410797.947412,2.45,1.7237583892796458,0.40019294601486727,0.09204214656194569,32.28241730121105,2.127121339868681,1.4759036144578312,0.011363414683776302
2.62,98.1,97.67731210470527,1.0043273907337011,0.18893195233544866,5812036551.799504,2.62,0.5454466090915088,0.23533581973271817,0.25814269577005605,1.1525098646774723,2.2674203092114027,1.578313253012048,0.0035957104229419464
2.79,99.3,98.34580316414117,1.0097024662482674,0.20754036186195987,6274158871.02962,2.79,0.6441761466474656,0.2635352642042912,0.09756259703667079,4.253299117833089,2.44770574317651,1.6807228915662649,0.004246558409390119
2.97,98.6,99.18853361150168,0.9940665156538473,0.16606998028957298,6793898185.267769,2.97,0.3531784057220752,0.20192299014896595,0.010608484168746322,11.758040478192802,2.650469002852555,1.7891566265060241,0.00232823387925734
3.16,101.0,99.51307703010696,1.0149419856592634,0.22647456023511855,7275905308.411478,3.16,0.7061641715650024,0.293152504598916,0.0331409165406529,15.046893364894913,2.8385119944029475,1.9036144578313252,0.004655197831798149
3.33,103.0,99.04366966141754,1.039945312528375,0.2813123714647881,7595166954.202717,3.33,1.1657661324311186,0.38419001690567395,0.15961620764151332,8.51423984822174,2.9630639192175257,2.0060240963855422,0.007685000444089386
3.51,107.0,98.4316356665884,1.087048887030941,0.2181261941501312,7907080598.989515,3.51,0.5789932107077295,0.2799789416968781,0.05336478470257286,6.281916809260222,3.0847492057098767,2.114457831325301,0.003816857393287286
3.68,114.0,97.90706001101248,1.1643695560583416,0.1741728345893932,8201919136.182808,3.68,0.31930446780263666,0.2136098637909686,0.02242533060983322,4.546436569100967,3.1997730671760034,2.216867469879518,0.0021049290321598687
3.85,112.0,96.966214734824,1.155041478171436,0.1886684775931793,8416688603.109575,3.85,0.3699349428208701,0.23494301036170578,0.023195237934186656,5.899998193947353,3.283559988811499,2.319277108433735,0.002438696854174179
4.03,114.0,95.96000468945383,1.1879949398598644,0.15016199778676537,8628299516.846436,4.03,0.20526923956192383,0.1794752110398716,0.006133509295250051,6.869714984040422,3.3661146801286383,2.427710843373494,0.0013531823865062268
4.2,116.0,94.73248914707139,1.2245007076707441,0.24878639467563635,8763686498.90372,4.2,0.6733226962297039,0.3292494659040483,0.048418823560829535,9.363371926797614,3.4189325160082977,2.5301204819277108,0.004438699217269018
4.38,114.0,93.35488685655402,1.221146571310922,0.2898350366990274,8875398662.608614,4.38,0.9584735383035539,0.3990406897468519,0.07708200260693635,11.918106595033715,3.462514215213544,2.6385542168674694,0.0063184796354906645
4.73,114.0,91.25140711243854,1.2492958038392876,0.09292989981013142,9157563234.059769,4.73,0.05864683693747969,0.10415665597246881,0.008814793918108278,0.39019079909578475,3.572593646777028,2.8493975903614457,0.0003866135371157728
5.25,109.0,88.89309590738755,1.2261919656118248,0.1356589847467183,9645728026.161907,5.25,0.12440527492331085,0.1595833529319818,0.016738884413386806,0.9245940199197024,3.7630388984524745,3.1626506024096384,0.0008201083960458907
5.78,107.0,84.94400037671878,1.2596534131364772,0.08396518918278938,9696899701.69104,5.78,0.03835260273803824,0.09313038807564152,0.007558893212041157,0.19459490900580928,3.7830022444013585,3.4819277108433733,0.0002528292432540906
6.3,105.0,81.90696795755535,1.2819422158858522,0.15066695056717563,9827021216.44024,6.3,0.13234379699890017,0.18017763955835092,0.017302092860116587,1.0122983818021236,3.83376589025564,3.795180722891566,0.0008724409728630698
6.82,101.0,79.56559369476231,1.26939290351388,0.13731888297202494,10038634343.42965,6.82,0.09849924971098555,0.16183230127891501,0.016137818628282508,0.6012028277863752,3.916321445017758,4.108433734939759,0.0006493298756181888
7.35,94.5,76.43767461141135,1.2363013459058334,0.06620582826445415,9984858561.32772,7.35,0.017965939481566256,0.0719040034694912,0.0005168170492084146,0.6245439889215749,3.895342172194037,4.427710843373493,0.00011843563563335694
7.87,90.8,73.73891306494828,1.2313715543925163,0.06833139261157072,9949650853.191534,7.87,0.017965939481566256,0.07440132559267833,0.0005168170492084146,0.6245439889215749,3.881606767786771,4.740963855421686,0.00011843563563335694
