r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.1,6.29,2.262410219213129,2.780220822282033,0.7586606129592004,119009.69794764361,0.1,1.852546269344133,1.5068963163115185,0.7063713710662483,4.858531674182186,0.0008050762266768219,0.07220216606498195,0.4194975752808314
0.3,13.9,6.768943787622999,2.053496148899349,0.7586606129592004,3195970.155153211,0.3,1.852546269344133,1.5068963163115185,0.7063713710662483,4.858531674182186,0.021620083383577984,0.21660649819494585,0.4194975752808314
0.49,15.6,9.691155761827378,1.6097151241183272,0.8707473931155556,10700076.262930403,0.49,4.426975897818547,1.856408722518352,0.5735641563293669,34.16900338627889,0.07238382393596188,0.35379061371841153,1.0024611453397294
0.69,18.4,14.140951170271396,1.301185456228887,0.772718022919845,32080858.469486684,0.69,2.0468670441541605,1.5489391087485456,0.4783622131586762,8.758352104735847,0.217020435565931,0.4981949458483754,0.4635003055815213
0.89,22.5,15.274897708331798,1.4730049542477277,0.8541708839574481,48282113.552713275,0.89,3.8465130919016524,1.8026611526582907,0.9227569145784362,16.03419354807029,0.32661860726762637,0.6425992779783394,0.8710189548517941
1.09,26.5,17.146107429967888,1.5455402987667872,0.8685254119152347,74507025.25744553,1.09,4.343370654013101,1.8491627204005214,1.110509728397024,16.9875762055438,0.5040247626001692,0.7870036101083033,0.9835292581110425
1.29,35.3,19.671799612643476,1.7944469085234047,0.7145946449191449,116069346.48713878,1.29,1.3727001169753499,1.3784338034303993,0.27483955674128596,6.856020412366942,0.7851853513973273,0.9314079422382672,0.31083939990483594
1.48,40.5,22.844255295369116,1.7728746013537144,0.8046780056850588,179578926.32024384,1.48,2.5917130371891757,1.6464367063683272,0.5746747188316192,11.688310355452453,1.214814648602673,1.068592057761733,0.5868772904168769
1.68,44.2,25.09904380648793,1.7610232621122646,0.7932069147232588,246072612.5401369,1.68,2.3774553799998004,1.6111372871574874,0.27659223645744324,20.43547626746083,1.6646308142003274,1.2129963898916967,0.5383599771580208
1.88,46.3,26.6757792763398,1.7356568863600543,0.7420666404606373,311051088.2580663,1.88,1.6513092523126134,1.457928409010535,0.1559492404089375,17.4853191950332,2.1041968911532845,1.3574007220216606,0.37392870496518904
2.08,46.4,27.395977806970134,1.6936792812043682,0.7729228920241248,362974897.8704508,2.08,2.049879807790796,1.5495556281435425,0.37284696769164793,11.270058738585682,2.4554508262385966,1.5018050541516246,0.4641825271602083
2.27,46.3,27.55252801468497,1.6804265646812149,0.8282533606694938,400671459.2958235,2.27,3.1133835881393503,1.720058078967898,4.1157904469486475,2.3551144043501386,2.710460341886485,1.6389891696750902,0.7050063406005954
2.37,46.4,27.75392224533318,1.6718357711693221,0.8155974401871131,424459957.07885075,2.37,2.8185461143201995,1.6803563799588161,1.582604862810491,5.01970035934407,2.8713846561545115,1.7111913357400723,0.6382422292713557
2.98,46.9,28.065868951450625,1.6710688730546468,0.8155974401871131,545774066.4185023,2.98,2.8185461143201995,1.6803563799588161,1.582604862810491,5.01970035934407,3.6920497538240573,2.151624548736462,0.6382422292713557
