r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
3.5,181.0,204.12,0.8867332941407016,0.4256166419407475,33906175762.803688,3.5,0.037281348798697794,0.6611110256067415,0.02391152421205411,0.05812674072652798,0.25012009199577395,0.36477331943720687,0.19424988662417153
5.24,203.0,218.93,0.9272370163979354,0.5070054228935903,58395783049.63369,5.24,0.037281348798697794,0.8411762713901509,0.02391152421205411,0.05812674072652798,0.43077575987094674,0.546117769671704,0.19424988662417153
6.98,216.0,229.11,0.9427785779756448,0.8142786307100056,85188929054.08392,6.98,0.19293978515961333,1.676243225670256,0.03058259568780437,1.2172204438579592,0.6284242410907336,0.7274622199062012,1.0052890413089346
8.72,223.0,244.44795356067107,0.9122596313519648,0.8388416013894714,121151540822.75612,8.72,0.16485328974939029,1.7535934032776204,0.017784769376256032,1.5280831910859178,0.8937143117526218,0.9088066701406983,0.8589478083625368
10.47,224.0,248.20218371319783,0.9024900452078057,0.873729216570523,149967628311.21786,10.47,0.1784383908638503,1.8661527836261447,0.012206167526151545,2.6085386150782295,1.1062856882473782,1.0911933298593017,0.9297313083241567
12.19,223.0,244.55126251974247,0.9118742536935271,0.8273893610367478,169505256050.46375,12.19,0.10747000916606467,1.7173344622205848,0.005866827926375231,1.968662284814951,1.2504114452099286,1.2704533611255862,0.5599592763858351
13.94,224.0,236.27130591758282,0.9480626482766242,0.6014362712654796,180935748992.65506,13.94,0.021787103359907606,1.0716795361773204,0.0003996287629945512,1.1877970676043892,1.3347322475988066,1.4528400208441896,0.11351902476444158
15.68,215.0,221.95086753603826,0.9686828548443964,0.6002421475129665,179597132134.36227,15.68,0.021787103359907606,1.0686199738592375,0.0003996287629945512,1.1877970676043892,1.3248574987009794,1.6341844710786866,0.11351902476444158
