r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.39,17.4,12.30018699044856,1.4146126407274608,0.05153198556334056,13719165.013915664,0.39,1.1182729400415554,0.05498419476027094,0.16540115350513146,7.560614553938931,0.00463815983769209,0.06643952299829642,0.9946491696234111
1.18,46.3,29.12108686158537,1.589913186278632,0.2834719548064486,232668083.26609948,1.18,1.1182729400415554,0.38793520871677456,0.16540115350513146,7.560614553938931,0.07866016322589701,0.2010221465076661,0.9946491696234111
1.95,69.1,34.879296151155344,1.9811179589330996,0.4612708399942293,551581487.4061536,1.95,1.125268147906349,0.7378728641719058,0.17778774903454994,7.12213530779624,0.1864780472796064,0.3321976149914821,1.0008710654101425
2.74,85.2,37.08001213592034,2.2977338758059527,0.363547474379235,875931094.1172915,2.74,0.2507601512688614,0.5353642703450117,0.05441073342637838,1.1556663456754226,0.29613379656849476,0.4667802385008518,0.22303890875240662
3.53,93.2,41.37856449902534,2.2523739314880125,0.3086861505599356,1405287524.733138,3.53,0.07754178464983277,0.4325594319717002,0.021846189789798173,0.2752300709888042,0.4750980217101891,0.6013628620102214,0.06896963071484809
4.3,100.0,44.97301968958722,2.223555382543134,0.40743018346519694,2022144557.779632,4.3,0.09589720600105484,0.6232293441832264,0.0038549087141847857,2.3856010091677415,0.683644351852883,0.7325383304940374,0.08529588162493665
5.09,108.0,46.422288827674144,2.3264686582109446,0.5021042246632097,2550413075.6049304,5.09,0.12191803203509707,0.8298454728152453,0.009277886500914967,1.6020897144888655,0.8622407766651174,0.8671209540034072,0.10844013566251855
5.87,112.0,46.55347570267981,2.40583540346812,0.5130670609443645,2957889657.5375905,5.87,0.09781016085655322,0.8552762126782792,0.010573883013120806,0.9047601108233972,1.0,1.0,0.08699736155029175
6.4,113.0,47.139547091587545,2.397138007721033,0.5656425826937174,3306666765.870479,6.4,0.11183869831246177,0.9815795734570621,0.026095891510253325,0.4793051210881746,1.1179141714918608,1.090289608177172,0.09947506053765331
7.44,113.0,48.83667883875806,2.3138346563878183,0.4992740347314746,4125768204.4032536,7.44,0.050626328926483444,0.8233309650156339,0.016360926373674544,0.15665526034616933,1.3948350621834584,1.2674616695059626,0.045029647257616025
8.21,112.0,50.11723256525644,2.2347602664246775,0.5977896578770643,4794650613.474824,8.21,0.0734534728940723,1.062347875461275,0.010100556321968414,0.5341698524531118,1.6209700727870682,1.3986371379897786,0.06533327705965038
9.0,111.0,50.10559350012731,2.215321528917085,0.6094243773983186,5253570639.701832,9.0,0.06574182101449207,1.092241870695845,0.00566790704854858,0.7625366812266746,1.7761212377595483,1.5332197614991483,0.05847413930910779
9.72,111.0,50.89229902450861,2.1810765504333935,0.7495891825592209,5853424901.241831,9.72,0.1351135903031019,1.4800383079519621,0.015615984685612209,1.1690381780032322,1.978919290084249,1.6558773424190802,0.12017694034054341
11.79,113.0,53.23425400998872,2.122693406745157,0.41725875099198123,7768475411.482687,11.79,0.009764179268601183,0.643595075855186,0.002233427392304274,0.04268739477177167,2.6263574071082334,2.008517887563884,0.008684760628480729
17.63,118.0,48.939710869599544,2.411129896423222,0.5123117454168504,9817813006.782286,17.63,0.009764179268601183,0.8535140672565282,0.002233427392304274,0.04268739477177167,3.319195150422042,3.0034071550255534,0.008684760628480729
