r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
2.43,62.2,136.96361925708595,0.45413519544374936,0.5779021198712241,10598791927.75483,2.43,0.4018645850754086,1.012064238068375,0.07130754165783491,2.264769489779291,0.13087985395181453,0.16023738872403562,1.0
3.65,88.2,148.78781569738834,0.5927904753933972,0.66941832796451,18787424397.39497,3.65,0.4018645850754086,1.2519754951237503,0.07130754165783491,2.264769489779291,0.23199770106088732,0.240685789647214,1.0
4.86,107.0,151.64457392204972,0.7055972873450883,0.719388071537402,25985415469.74943,4.86,0.2696129664959729,1.3921630282487951,0.07704887675361471,0.9434420690545413,0.32088255008120187,0.32047477744807124,0.6709050175331595
6.08,120.0,153.2628624292265,0.7829685423982827,0.7554048912341438,33206040210.09508,6.08,0.14116881003151624,1.4972324058447533,0.02292344253384923,0.8693560269705253,0.41004689238539943,0.40092317837124963,0.35128452537071997
7.29,124.0,161.02637082167627,0.7700602042215806,0.7942902138100335,43950233185.302635,7.29,0.06569064098549507,1.6144562406907388,0.005693096208852096,0.7579812732438073,0.5427222403883066,0.4807121661721069,0.16346461824489567
8.51,128.0,159.9485617315767,0.8002572740529402,0.8129099805600539,50620902512.25903,8.51,0.030451339362293092,1.6719794080024453,0.0004961225369533021,1.8690625800875922,0.6250954234099159,0.5611605670952852,0.07577512548556374
9.73,133.0,158.26481131319116,0.8403636847410478,0.8273106003500692,56665824759.17889,9.73,0.02007073540215611,1.7170862786371388,0.0014293283865296769,0.2818347577643933,0.699741528949091,0.6416089680184637,0.04994402629032339
10.96,138.0,157.682581473034,0.8751759307263751,0.8411803767213435,63360360863.16619,10.96,0.006314666342965265,1.761040130756723,0.00018609752198642243,0.21426943570956072,0.7824094323797239,0.7227167820639632,0.015713418344093042
12.19,143.0,157.8513278373039,0.9059157243668483,0.8543165124280163,70621970309.30663,12.19,0.027231322754506914,1.8031302268573361,0.0015732945753985411,0.47133254671794733,0.8720798769213502,0.8038245961094626,0.06776243482464882
13.41,146.0,155.19507273106322,0.9407515163384258,0.8616188624840708,75097292699.917,13.41,0.05609530026870285,1.8267220459289186,0.005314932660025047,0.5920456407477993,0.9273436791417274,0.8842729970326411,0.13958756842974046
14.55,148.0,152.52458064194113,0.9703354002161606,0.8671290428963832,78701374600.95656,14.55,0.023379058255802287,1.8446156530411002,0.0038544222485061095,0.14180604243347747,0.9718489129507994,0.9594460929772504,0.058176458250022905
15.78,154.0,150.64229718110383,1.0222892433382074,0.8736844691517706,83260785467.72661,15.78,0.0243613298020345,1.866006386279885,0.0012651396208734366,0.4690979398098108,1.0281510870492006,1.0405539070227499,0.060620743172636556
17.0,158.0,146.79683988424273,1.0763174474640707,0.8763142924043659,85176929394.01196,17.0,0.0440348927983619,1.87461905319818,0.0037249477674191084,0.5205634829899219,1.051812711782691,1.1210023079459281,0.10957644548374149
18.23,159.0,142.09142549781112,1.1189978525653497,0.8768559580379033,85577984992.94339,18.23,0.03877445346544399,1.8763952405284432,0.0031332470880518462,0.4798403060125986,1.0567651722680458,1.2021101219914276,0.09648636606823188
19.46,160.0,137.7705472878728,1.1613512695545773,0.877262758139814,85880635307.8767,19.46,0.02538862643851299,1.8777296890046102,0.001867507317866894,0.3451565336678928,1.0605024688662754,1.2832179360369274,0.0631770685484736
20.69,158.0,136.10294118791114,1.1608860074658973,0.8815045486427467,89111787810.95164,20.69,0.008364633776171106,1.891669898703955,0.0004607478404914023,0.15185550980519052,1.100402560365484,1.3643257500824268,0.020814558154213837
21.92,155.0,132.96408876083797,1.1657282913343463,0.8827727236643202,90105005658.80243,21.92,0.006700109064268368,1.895846709803759,0.00031436503575753576,0.14280042742321744,1.1126673739173603,1.4454335641279263,0.01667255417147822
23.14,156.0,129.33243715325247,1.2061939250023395,0.8826329400715378,89994905032.19087,23.14,0.013008200675744128,1.8953861190406627,0.0005533090665967167,0.3058205531697212,1.1113077893506336,1.5258819650511046,0.03236961195100877
24.28,154.0,127.09318785835849,1.211709318139288,0.8841360339343445,91186988695.88066,24.28,0.040638354360874956,1.900341518385843,0.0016410911042342884,1.0063279490693489,1.126028310035024,1.601055060995714,0.1011244978286636
25.51,150.0,123.31096950393342,1.2164367906880762,0.882879219135128,90188991062.8216,25.51,0.01564669673454322,1.8961976493899773,0.0008179802781098969,0.29929709218475015,1.1137044730025238,1.6821628750412134,0.038935246636891796
26.73,141.0,123.3175494404588,1.143389571393314,0.888212685473074,94512309520.54335,26.73,0.011138631331168193,1.9138109924989508,0.00018872321296218336,0.6574130759237491,1.167091245022462,1.7626112759643917,0.027717374819376195
27.96,152.0,122.46910018449552,1.2411293932185115,0.8917452231811599,97505668981.68063,27.96,0.011138631331168193,1.9255176291675018,0.00018872321296218336,0.6574130759237491,1.2040549340701738,1.8437190900098914,0.027717374819376195
