r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.63,262.0,397.97377313084337,0.6583348393509872,0.5761964860874503,23200059564.83628,0.63,3.4409375394199593,1.0077995938408333,0.2655632742401944,44.58467076844555,0.3155191916169719,0.12949640287769784,0.24263461135591513
0.79,250.0,379.24370383699187,0.659206725044158,0.6125708895216924,26418216528.827625,0.79,3.4409375394199593,1.100386912617909,0.2655632742401944,44.58467076844555,0.35928590182465076,0.16238437821171633,0.24263461135591513
0.95,241.0,361.7985854035364,0.6661164795080604,0.642112441513904,28913254539.15567,0.95,5.599314542707497,1.1781133453249348,0.3760976583236756,83.36218706576835,0.39321824470817984,0.19527235354573483,0.39483062170270466
1.11,234.0,346.49261882470165,0.675339061460313,0.6667934721181875,30984935685.47122,1.11,5.150539669539816,1.244791066915444,0.2923310322856024,90.74663979425165,0.4213929637750365,0.22816032887975335,0.36318566573070643
1.27,228.0,334.1647654975012,0.682298146127273,0.687848761194723,32973471878.04441,1.27,5.9207235896846315,1.3029254549549727,0.37187800031396895,94.26469916438154,0.4484369172712918,0.26104830421377184,0.417494491158678
1.43,225.0,323.68898900024385,0.6951116894490054,0.7061046835581731,34836260951.28705,1.43,0.2048949972185108,1.3542636549437974,0.0014684991757234545,28.588344194671528,0.47377071871692583,0.29393627954779034,0.01444798618090147
1.59,222.0,315.622551317234,0.7033717935346976,0.7221418359846907,36827549493.24679,1.59,9.4229819146353,1.400077316647833,0.5663611955380857,156.7773160715651,0.5008521039728309,0.32682425488180883,0.6644530824749476
1.9,221.0,305.49028282418413,0.7234272656953543,0.7483882080374387,41227599394.081726,1.9,3.013921886477937,1.476498590945774,0.23228434286816152,39.10605865909099,0.560692475671272,0.39054470709146966,0.2125239871997018
2.06,221.0,302.3958612481328,0.7308301082158564,0.7599899399410056,43798430846.9603,2.06,7.3061181502307075,1.5108500613959985,0.4738443048226794,112.65169145613355,0.595655604086044,0.42343268242548815,0.5151843407772095
2.22,222.0,300.2213864800441,0.7394543160393954,0.7705391748805744,46523874156.399475,2.22,1.610489446004025,1.542388980913902,0.20416784432214313,12.703647160019766,0.6327214429641264,0.4563206577595067,0.1135622127246926
2.38,222.0,298.74076789082534,0.7431191985190645,0.7801907077940043,49386197440.07662,2.38,2.036995562956461,1.5714975104805466,0.10805879532298109,38.39901149279108,0.671648839942929,0.48920863309352514,0.1436369074095369
2.79,221.0,294.67070621288434,0.7499897184905069,0.8016331380745497,56327149842.4752,2.79,5.839227111656081,1.6370335325515748,0.2963207522188114,115.06643731898187,0.7660453084061397,0.5734840698869476,0.41174784041398976
2.86,221.0,293.886450181018,0.7519911171946718,0.8049008018179927,57433436741.52678,2.86,16.12520596555404,1.6471256928154145,1.6499923350150771,157.58998506448432,0.7810907330573013,0.5878725590955807,1.1370543747637532
3.02,220.0,291.8598449598711,0.7537864622324069,0.8120083199054923,59812958346.48947,3.02,4.170970852816756,1.6691730849799546,0.3156493086845319,55.114956302451304,0.8134520608864285,0.6207605344295991,0.2941122529125131
