r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
1.74,59.2,56.25,1.0524444444444445,0.345484297275011,1280070671.0905368,1.74,0.11704771125531702,0.5006515168377016,0.10559914514421626,0.1297374774331536,0.19709411112223857,0.2847790507364975,0.47667885785168435
2.61,71.2,59.09,1.2049416144863767,0.4716277939144425,2118888640.0784953,2.61,0.11704771125531702,0.7607904027048273,0.10559914514421626,0.1297374774331536,0.326247981861419,0.4271685761047463,0.47667885785168435
3.5,84.5,62.05093391722642,1.361784499693748,0.6973300890926678,3133316995.7055607,3.5,0.24662774097036105,1.3294801181928524,0.11550673189601304,0.5265947847169852,0.4824408074334451,0.5728314238952537,1.004395802527513
4.37,93.5,65.39440725322005,1.4297858781401527,0.7715304033623727,4345125228.149391,4.37,0.23583392000471962,1.5453673156686296,0.05830918879736622,0.9538400202766103,0.66902446395973,0.7152209492635024,0.9604377772523816
5.24,97.5,66.8194320538569,1.4591563711797844,0.775487902471654,5439719329.165222,5.24,0.16163514288438416,1.5572838354155052,0.02811532403340021,0.9292412701421625,0.8375605114230832,0.8576104746317512,0.6582619555093783
6.11,100.0,67.61448143704128,1.4789731115976132,0.6527356579624524,6494717999.446629,6.11,0.05125923220410848,1.2066186488908306,0.0038457434526362167,0.6832252121117395,1.0,1.0,0.20875412256554277
6.98,101.0,68.84792662092302,1.4670013311527366,0.7132986548511648,7692664636.088644,6.98,0.055926970079834215,1.3747321171673905,0.006623031159642004,0.4722650259250389,1.1844493689709215,1.1423895253682488,0.22776356696636965
7.85,103.0,68.72155193241782,1.498802007575328,0.7507796992488407,8619760898.275019,7.85,0.057178473480612356,1.4835509030942746,0.010323187616840234,0.3167023550206284,1.3271955609172639,1.2847790507364973,0.23286033652540128
8.72,105.0,68.44422912123417,1.5340957352885833,0.7054054356918812,9497948341.16501,8.72,0.03442350297199511,1.3522813130066293,0.0015675054024161885,0.7559639380102965,1.4624111996816902,1.4271685761047463,0.14019031986154531
9.6,110.0,68.9585382675706,1.5951614225519355,0.529888276077247,10614192810.358736,9.6,0.009260223974672955,0.8949043367385986,0.00010201831847737677,0.8405524550977951,1.6342807819004768,1.5711947626841243,0.037712424620326535
10.47,111.0,70.57971167410646,1.5726899043244817,0.5648726427075128,12126796417.269836,10.47,0.009260223974672955,0.9796780759306934,0.00010201831847737677,0.8405524550977951,1.867178285231642,1.7135842880523733,0.037712424620326535
